ENERGY,TOTFAT,CHOL,TOTALCARB,ADDSUG,PROT,VITD,VITA,VITB2,VITB12,VITC,CALC,SOD,IRON,POT,PHOS,HLTI,VIT_ESS,PROT_IN,LOW_SOD
1,0,2,1,2,0,2,0,0,2,2,2,0,0,1,1,0.64,0.587,0.557,0.829
2,1,0,2,1,0,2,0,2,1,0,2,0,1,1,1,0.676,0.523,0.59,0.87
2,0,2,0,0,1,2,0,1,1,2,0,2,1,1,1,0.555,0.433,0.495,0.328
1,1,0,1,0,1,1,1,0,2,2,0,2,2,2,2,0.752,0.441,0.508,0.622
2,0,2,0,1,0,1,0,2,1,0,2,1,0,0,2,0.331,0.253,0.419,0.347
1,1,0,1,0,0,0,2,2,2,0,0,1,0,1,1,0.576,0.512,0.349,0.604
2,1,2,0,0,0,1,0,2,0,2,1,0,2,2,1,0.597,0.519,0.677,0.709
0,1,1,1,1,1,0,1,0,2,0,1,0,0,0,1,0.539,0.242,0.247,0.836
0,0,2,0,1,1,0,0,2,1,2,1,0,1,0,1,0.547,0.508,0.352,0.604
2,1,1,1,2,2,1,1,0,0,0,0,1,2,1,1,0.589,0.079,0.79,0.506
2,0,1,0,1,0,1,1,0,2,0,0,2,0,0,0,0.254,0.19,0.216,0.379
1,2,0,0,1,2,0,1,2,2,1,0,1,2,0,1,0.489,0.416,0.698,0.093
0,1,0,0,0,1,1,2,2,2,0,0,0,1,0,0,0.529,0.598,0.249,0.6
2,0,1,2,0,1,2,1,1,2,2,1,2,2,2,2,0.811,0.681,0.61,0.582
0,0,1,0,1,0,0,2,1,2,1,1,2,0,1,2,0.51,0.428,0.387,0.575
2,2,0,1,0,2,0,2,1,1,0,2,2,0,0,2,0.483,0.26,0.703,0.343
0,1,2,1,0,1,1,1,2,1,2,2,2,1,0,2,0.622,0.501,0.381,0.448
0,0,0,0,2,2,1,1,1,1,2,0,0,2,2,1,0.671,0.266,0.658,0.626
0,2,1,1,1,0,1,1,2,0,2,2,2,0,2,1,0.471,0.413,0.397,0.607
2,2,2,1,2,1,2,2,1,0,0,0,1,0,1,0,0.369,0.343,0.36,0.37
2,2,2,0,2,2,0,0,0,1,1,1,0,1,2,0,0.42,0.191,0.94,0.496
0,0,1,2,2,2,0,0,1,0,2,2,0,2,0,0,0.453,0.36,0.595,0.6
0,0,1,1,0,1,0,1,2,2,2,1,2,2,2,1,0.774,0.671,0.496,0.7
2,0,2,0,1,1,0,2,1,0,2,0,0,2,2,0,0.519,0.416,0.556,0.592
2,2,0,2,2,1,1,0,2,1,2,2,1,2,2,0,0.573,0.488,0.59,0.506
1,1,1,2,1,0,0,2,0,0,1,2,2,0,0,2,0.387,0.265,0.313,0.471
2,2,2,1,0,2,1,0,1,0,2,2,1,0,2,1,0.504,0.275,0.851,0.379
0,2,2,2,1,0,2,0,2,2,0,2,2,0,1,0,0.251,0.597,0.331,0.334
2,2,2,0,2,0,2,1,2,1,0,0,2,2,1,1,0.394,0.433,0.563,0.243
0,2,2,1,2,0,1,1,0,0,0,0,1,0,2,0,0.085,0.009,0.234,0.347
0,0,2,1,0,1,0,2,0,0,2,2,0,0,1,1,0.558,0.427,0.383,0.847
1,0,1,1,0,0,2,1,0,2,0,1,2,2,0,2,0.597,0.49,0.519,0.596
0,0,0,1,0,0,1,2,1,1,2,0,1,1,2,2,0.629,0.438,0.398,0.576
0,1,2,1,1,0,2,2,0,0,0,0,0,0,0,1,0.324,0.333,0.07,0.627
1,2,1,1,0,2,1,0,0,0,1,0,1,0,1,1,0.395,0.002,0.7,0.362
1,2,0,0,2,2,1,2,1,0,2,0,2,0,2,0,0.411,0.339,0.661,0.26
